Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,13208680,13404680,13204810,13390680,13390680,287378
2018-03-07,13390580,13403520,13221720,13244910,13244910,285180
2018-03-08,13244610,13289920,13190080,13209290,13209290,248518
2018-03-09,13209580,13251180,13128290,13229090,13229090,180303
2018-03-11,13232720,13242190,13226090,13230780,13230780,3727
2018-03-12,13230690,13256980,13150480,13249210,13249210,175432
2018-03-13,13249090,13282680,13139380,13263490,13263490,203885
2018-03-14,13263280,13299890,13214580,13251980,13251980,150023
2018-03-15,13252220,13278920,13150000,13158090,13158090,102106
2018-03-16,13157990,13216980,13096190,13140820,13140820,95777
2018-03-18,13131380,13143980,13127780,13131210,13131210,4215
2018-03-19,13131110,13195920,13077390,13170280,13170280,103934
2018-03-20,13170280,13173920,13071710,13099980,13099980,96590
2018-03-21,13100090,13365820,13098080,13320010,13320010,133142
2018-03-22,13320080,13348380,13247610,13326780,13326780,145836
2018-03-23,13326580,13502180,13317180,13469810,13469810,145524
2018-03-25,13471220,13508720,13467720,13482780,13482780,6863
2018-03-26,13482780,13558720,13434390,13528390,13528390,119122
2018-03-27,13527880,13567880,13398180,13454020,13454020,132812
2018-03-28,13454020,13469720,13235000,13265010,13265010,142532
2018-03-29,13264990,13282690,13211780,13250710,13250710,110370
2018-04-01,13257420,13274910,13248110,13265980,13265980,5792
2018-04-02,13266190,13447920,13257320,13415620,13415620,122013
2018-04-03,13415610,13424910,13290000,13331680,13331680,132013
2018-04-04,13331580,13482180,13314690,13334420,13334420,145465
2018-04-05,13334390,13338420,13227370,13308880,13308880,121992
2018-04-06,13309220,13353610,13196510,13329910,13329910,144041
2018-04-08,13339710,13348180,13317410,13324710,13324710,7813
2018-04-09,13324710,13379020,13268110,13364320,13364320,131003
2018-04-10,13364480,13425780,13310490,13417690,13417690,136108
2018-04-11,13417580,13651720,13397210,13528980,13528980,160729
2018-04-12,13528980,13531510,13337220,13377380,13377380,152192
2018-04-13,13377290,13471110,13331780,13452410,13452410,126437
2018-04-15,13459410,13470980,13401020,13438010,13438010,10760
2018-04-16,13438020,13504390,13411180,13480680,13480680,121918
2018-04-17,13480580,13493410,13376480,13462210,13462210,112367
2018-04-18,13462220,13556520,13422510,13505410,13505410,116735
2018-04-19,13505720,13546620,13409090,13443710,13443710,132105
2018-04-20,13443810,13456790,13350000,13351420,13351420,103497
2018-04-22,13341710,13353220,13315680,13328880,13328880,5808
2018-04-23,13328880,13354190,13220780,13244990,13244990,111288
2018-04-24,13245180,13326310,13220000,13316180,13316180,111967
2018-04-25,13316090,13316380,13187210,13226290,13226290,98309
2018-04-26,13226010,13265210,13151980,13179290,13179290,106821
2018-04-27,13179280,13251620,13152580,13232180,13232180,92532
2018-04-29,13229090,13253480,13222280,13233120,13233120,2164
2018-04-30,13233120,13248910,13101680,13150690,13150690,92856
2018-05-01,13150890,13152320,13016780,13055220,13055220,98796
2018-05-02,13055220,13133610,13038680,13058380,13058380,117523
2018-05-03,13058380,13180680,13054280,13127890,13127890,108951
2018-05-04,13127890,13154110,13080000,13148110,13148110,99194
2018-05-06,13150580,13153090,13142210,13146590,13146590,2307
2018-05-07,13146590,13188890,13101980,13157820,13157820,94069
2018-05-08,13157810,13177620,13060280,13163290,13163290,120909
2018-05-09,13163290,13173820,13042010,13124080,13124080,116781
2018-05-10,13123490,13228310,13106980,13211010,13211010,119586
2018-05-11,13210610,13259010,13172020,13179090,13179090,94943
2018-05-13,13182910,13201930,13177720,13200890,13200890,3625
2018-05-14,13200890,13223110,13126090,13137480,13137480,89197
2018-05-15,13137680,13148190,12886620,12928380,12928380,118024
2018-05-16,12927890,12968290,12863490,12917390,12917390,108747
2018-05-17,12916580,12943480,12850810,12894780,12894780,97936
2018-05-18,12894680,12941510,12860380,12928680,12928680,80000
2018-05-20,12904210,12919620,12899720,12911420,12911420,3937
2018-05-21,12910090,12933890,12820290,12924410,12924410,90606
2018-05-22,12924420,12961210,12878980,12934510,12934510,95121
2018-05-23,12934410,12984420,12878790,12949210,12949210,125096
2018-05-24,12948820,13065810,12927180,13043410,13043410,112062
2018-05-25,13043410,13077580,12998090,13013490,13013490,119979
2018-05-27,12995880,12998880,12962480,12987590,12987590,4321
2018-05-28,12987790,13002820,12954480,12979890,12979890,77630
2018-05-29,12979910,13066080,12927380,13020680,13020680,156632
2018-05-30,13020680,13043380,12958580,13025190,13025190,131198
2018-05-31,13024980,13064180,12973910,12993380,12993380,118893
2018-06-01,12993380,13005210,12892520,12928110,12928110,100359
2018-06-03,12926220,12944910,12923210,12927180,12927180,3561
2018-06-04,12926890,12980210,12903000,12915390,12915390,92533
2018-06-05,12915390,13004720,12898680,12969010,12969010,90540
2018-06-06,12968910,13017720,12937390,12972790,12972790,86413
2018-06-07,12972810,13030990,12948390,12972110,12972110,92970
2018-06-08,12971620,13005390,12932520,12984380,12984380,89403
2018-06-10,12997780,12997880,12982110,12991220,12991220,2695
2018-06-11,12991610,13022090,12940590,12981380,12981380,73469
2018-06-12,12981180,12997780,12932180,12954480,12954480,86053
2018-06-13,12954480,13011910,12914090,12993190,12993190,87819
2018-06-14,12994110,13092710,12974880,13023220,13023220,116242
2018-06-15,13023210,13029680,12753480,12795580,12795580,139169
2018-06-17,12772720,12812390,12769780,12809090,12809090,4320
2018-06-18,12809090,12823420,12770090,12812780,12812780,100120
2018-06-19,12812580,12840280,12703880,12749490,12749490,122809
